2018-09-02 17:24:03,b'RT @ChrisDisaster: View the #Traveling #Safely with #Lithium #Batteries video at https://t.co/Og32qGvj2F\n\n #Airplanes #Airline #Airlines #A\xe2\x80\xa6'
2018-09-02 17:16:11,b'RT @416payne: I watched a #whitekid  use the bathroom and they backed the cart up emedietly to get him back to his seat my 7 year old son u\xe2\x80\xa6'
2018-09-02 16:49:48,b'\xf0\x9f\x91\x8c\xf0\x9f\x92\x8e\xe2\x9c\x88\xef\xb8\x8f\n#mccarran #united #avgeek\n#unitedairlines #aviation @ McCarran International Airport https://t.co/Spzg66snDO'
2018-09-02 16:45:36,b'RT @ChrisDisaster: View the #Traveling #Safely with #Lithium #Batteries video at https://t.co/Og32qGvj2F\n\n #Airplanes #Airline #Airlines #A\xe2\x80\xa6'
2018-09-02 16:45:27,b'#UnitedAirlines seems to think we all just came from a trump rally.  This Is What United Airlines Staff Are Being T\xe2\x80\xa6 https://t.co/GZN42w9GNd'
2018-09-02 16:45:03,b'View the #Traveling #Safely with #Lithium #Batteries video at https://t.co/Og32qGvj2F\n\n #Airplanes #Airline\xe2\x80\xa6 https://t.co/tqnECodfj0'
2018-09-02 16:39:39,"b'RT @ECSC_CastleRock: For the most magical dream vacations to #FrenchPolynesia, #UnitedAirlines introduces a new non-stop route from #SanFra\xe2\x80\xa6'"
2018-09-02 16:37:27,"b'RT @KcChano: Big apple baby, next stop #NewYork \xf0\x9f\x87\xba\xf0\x9f\x87\xb8.\n\n#MetLifeStadium #unitedAirlines #manhattan #usa #Birdseye #NYJets #NYGiants https://t.\xe2\x80\xa6'"
2018-09-02 16:28:06,"b'Big apple baby, next stop #NewYork \xf0\x9f\x87\xba\xf0\x9f\x87\xb8.\n\n#MetLifeStadium #unitedAirlines #manhattan #usa #Birdseye #NYJets #NYGiants https://t.co/MRLQ9r8aF7'"
2018-09-02 16:22:05,"b'For the most magical dream vacations to #FrenchPolynesia, #UnitedAirlines introduces a new non-stop route from\xe2\x80\xa6 https://t.co/kNg0QQMPir'"
2018-09-02 16:21:30,b'What horrible customer service from @united  &amp; #whereismysuitcase. A premier traveler and have passed already 2 day\xe2\x80\xa6 https://t.co/F9IVU2Gvnc'
2018-09-02 16:00:17,b'#UnitedAirlines Announces New #PragueNewark #Route from June 2019. United https://t.co/bBLHstexKX \xe2\x80\xa6 via @50skyshades https://t.co/JEewy40ko3'
2018-09-02 15:37:34,b'Boarding #unitedairlines in route to join the #letthemplay Debra pulled $10 for her pocket and said \xe2\x80\x9cLet me donate\xe2\x80\xa6 https://t.co/4Bn8cKP5BU'
2018-09-02 14:53:37,b'Chile so #UnitedAirlines paid off the 21 year old who was flying from Illinois to California after she caught a man\xe2\x80\xa6 https://t.co/YVYOeoYUUw'
2018-09-02 14:40:01,b'RT @UnitedFlyerHD: United B737 Max 9 (N37502) after pushback at Houston IAH with a Turkish 777 taxiing behind \n#AvGeek #boeing #boeing737 #\xe2\x80\xa6'
2018-09-02 14:29:02,b'@united flight UA49 delayed for 12+ hours.. have to be in Vegas by Monday...#UnitedAirlines this is simply not acceptable..'
2018-09-02 14:01:08,b'$280 &amp; up -- Newark to Orlando (Roundtrip) https://t.co/K3na8x4agc #ewr #mco #unitedairlines'
2018-09-02 14:00:18,b'#UnitedAirlines Announces New #PragueNewark #Route from June 2019. United https://t.co/bBLHstexKX \xe2\x80\xa6 via @50skyshades https://t.co/TWvyttehuw'
2018-09-02 13:17:13,b'@business901 1) who flies United? \n2) they need to pay off those lawsuits somehow \n3) I give it a year before you h\xe2\x80\xa6 https://t.co/XMOd28sDNE'
2018-09-02 12:00:07,b'#UnitedAirlines Announces New #PragueNewark #Route from June 2019. United https://t.co/bBLHstexKX \xe2\x80\xa6 via @50skyshades https://t.co/FL4AX4NGlo'
2018-09-02 09:55:02,b'#UnitedAirlines Announces New #PragueNewark #Route from June 2019. United https://t.co/bBLHstexKX \xe2\x80\xa6 via @50skyshades https://t.co/WOhMvXRmaJ'
2018-09-02 09:46:16,b'#unitedairlines finally at my destination! So exhausted'
2018-09-02 09:06:53,b'@united am I supposed to get charged bag fee on a partner airline if I booked the itinerary through United?\xe2\x80\xa6 https://t.co/mYync5usVc'
2018-09-02 08:00:05,b'#UnitedAirlines Announces New #PragueNewark #Route from June 2019. United https://t.co/bBLHstexKX \xe2\x80\xa6 via @50skyshades https://t.co/O6NevQtBKo'
2018-09-02 06:00:02,b'#UnitedAirlines Announces New #PragueNewark #Route from June 2019. United https://t.co/bBLHstexKX \xe2\x80\xa6 via @50skyshades https://t.co/n6LHaKblWc'
